studio_id,studio_name,anime_id,img,mal_score,your_score,rank,rating,source,start_season,start_year,title,genres
56,A-1 Pictures,22043,https://cdn.myanimelist.net/images/anime/3/60551.jpg,7.65,7,1395,pg_13,manga,spring,2014,Fairy Tail (2014),"Action,Adventure,Fantasy,Shounen"
397,Bridge,22043,https://cdn.myanimelist.net/images/anime/3/60551.jpg,7.65,7,1395,pg_13,manga,spring,2014,Fairy Tail (2014),"Action,Adventure,Fantasy,Shounen"
56,A-1 Pictures,35972,https://cdn.myanimelist.net/images/anime/1536/93863.webp,7.6,7,1569,pg_13,manga,fall,2018,Fairy Tail: Final Series,"Action,Adventure,Fantasy,Shounen"
397,Bridge,35972,https://cdn.myanimelist.net/images/anime/1536/93863.webp,7.6,7,1569,pg_13,manga,fall,2018,Fairy Tail: Final Series,"Action,Adventure,Fantasy,Shounen"
1835,CloverWorks,35972,https://cdn.myanimelist.net/images/anime/1536/93863.webp,7.6,7,1569,pg_13,manga,fall,2018,Fairy Tail: Final Series,"Action,Adventure,Fantasy,Shounen"
21,Studio Ghibli,2890,https://cdn.myanimelist.net/images/anime/1331/138727.webp,7.94,7,738,g,original,summer,2008,Gake no Ue no Ponyo,"Adventure,Award Winning,Fantasy"
10,Production I.G,20583,https://cdn.myanimelist.net/images/anime/7/76014.webp,8.44,8,173,pg_13,manga,spring,2014,Haikyuu!!,"School,Shounen,Sports,Team Sports"
10,Production I.G,28891,https://cdn.myanimelist.net/images/anime/9/76662.jpg,8.62,8,88,pg_13,manga,fall,2015,Haikyuu!! Second Season,"School,Shounen,Sports,Team Sports"
21,Studio Ghibli,431,https://cdn.myanimelist.net/images/anime/1470/138723.webp,8.67,7,71,g,novel,fall,2004,Howl no Ugoku Shiro,"Adventure,Award Winning,Drama,Fantasy,Romance"
569,MAPPA,40748,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,8.58,8,106,r,manga,fall,2020,Jujutsu Kaisen,"Action,Award Winning,School,Shounen,Supernatural"
